centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1608473.8758166605,-2163019.413791975,14,2,243.0,403.9293927449194,1189.687205327875,0.0,10,46
1608473.8758166605,-2162019.413791975,14,2,240.0,485.1808171460567,2174.9962141727938,0.0,10,47
1608473.8758166605,-2161019.413791975,14,2,232.0,1469.7145851686798,3169.520691967655,0.0,10,48
1608473.8758166605,-2160019.413791975,14,2,220.0,2454.248353191303,4166.667049568066,0.0,10,49
1608473.8758166605,-2159019.413791975,14,2,204.0,2762.9269742765023,5164.916958393561,0.0,10,50
1608473.8758166605,-2158019.413791975,14,2,185.0,2370.937005207319,6163.734263597558,0.0,10,51
1608473.8758166605,-2157019.413791975,14,2,164.0,2084.475552998277,7162.881609896373,0.0,10,52
1608473.8758166605,-2156019.413791975,14,2,142.0,1707.860561351349,7616.99415558974,0.0,10,53
1608473.8758166605,-2155019.413791975,14,2,119.0,1769.945773124737,7377.248221802969,0.0,10,54
1608473.8758166605,-2154019.413791975,14,2,98.0,2293.406641406566,7268.354881670396,0.0,10,55
1608473.8758166605,-2153019.413791975,14,2,78.0,2941.580254052028,7296.175302561519,645.1183181874063,10,56
1608473.8758166605,-2152019.413791975,14,2,60.0,3588.424972350442,7459.179941891433,1433.5232028258008,10,57
1608473.8758166605,-2151019.413791975,14,2,45.0,3893.861836249993,7748.842285485122,2221.928087464195,10,58
1609473.8758166605,-2204019.413791975,14,2,0.0,17882.776249002043,24625.10510512049,21348.7096788443,11,5
1609473.8758166605,-2203019.413791975,14,2,0.0,16975.61618732292,23662.40317191193,20349.417576973578,11,6
1609473.8758166605,-2202019.413791975,14,2,0.0,16079.2652314496,22702.92594142844,19350.125475102854,11,7
1609473.8758166605,-2201019.413791975,14,2,0.0,15195.854560613165,21747.100237361778,18350.83337323213,11,8
1609473.8758166605,-2188019.413791975,14,2,47.0,3616.392875547996,10129.766055948943,5360.036048912719,11,21
1609473.8758166605,-2187019.413791975,14,2,62.0,3031.543477065801,9387.52804417286,4360.743947041995,11,22
1609473.8758166605,-2186019.413791975,14,2,79.0,2702.260956378216,8697.08026937825,3361.45184517127,11,23
1609473.8758166605,-2185019.413791975,14,2,98.0,2670.45007505379,8071.723957364062,2362.1597433005463,11,24
1609473.8758166605,-2184019.413791975,14,2,117.0,2492.859015224285,7527.698856606942,1362.8676414298218,11,25
1609473.8758166605,-2183019.413791975,14,2,136.0,1521.398520228959,7083.768242089655,363.5755395590978,11,26
1609473.8758166605,-2182019.413791975,14,2,153.0,611.0639717888561,6759.681570866669,0.0,11,27
1609473.8758166605,-2181019.413791975,14,2,168.0,190.5150316589336,6573.18928461603,0.0,11,28
1609473.8758166605,-2180019.413791975,14,2,179.0,817.4656644562247,6536.079849823402,0.0,11,29
