centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1603473.8758166605,-2174019.413791975,10,2,107.0,866.1953112489763,1291.825808038495,965.927990371435,0.49,0.46380794821013915,0.40841681493987086,0.1894269649517816
1603473.8758166605,-2173019.413791975,10,2,113.0,1313.943806017584,430.28559492405236,659.3263511745575,0.49,0.4604411130764871,0.43820382572908984,0.20176705727307712
1603473.8758166605,-2172019.413791975,10,2,120.0,932.4481804891191,837.5425171798627,352.7247119776799,0.49,0.46330976119115597,0.46327829614664245,0.21464135675274654
1603473.8758166605,-2171019.413791975,10,2,129.0,278.05863631221064,1793.8253100480033,46.123072780802154,0.49,0.4682304292317442,0.4913992802270355,0.23008809590487497
1603473.8758166605,-2170019.413791975,10,2,138.0,493.1665245796592,2781.0323654811446,0.0,0.49,0.4666129301129167,0.5174053255191211,0.24142801499650457
1603473.8758166605,-2169019.413791975,10,2,147.0,1400.4851576044641,3774.9798400439813,0.0,0.49,0.459790367252792,0.5420992102152039,0.24925199495229708
1603473.8758166605,-2168019.413791975,10,2,156.0,1929.8257812652128,4771.457279241146,0.0,0.49,0.45581000186857934,0.565660493098114,0.2578337104160328
1603473.8758166605,-2167019.413791975,10,2,164.0,1952.7800090591809,5769.153867120217,0.0,0.49,0.45563739804856535,0.5845341072827885,0.2663355997129707
1603473.8758166605,-2166019.413791975,10,2,170.0,1423.8043832868443,5586.849902626181,0.0,0.49,0.4596150188390412,0.607839098208066,0.2793719785740061
1603473.8758166605,-2165019.413791975,10,2,174.0,1224.247635147759,5341.1744700598665,0.0,0.49,0.46111558149562637,0.6247889383802114,0.28809991463322626
1603473.8758166605,-2164019.413791975,10,2,175.0,481.1024587103627,5276.684338177189,0.0,0.49,0.4667036455955995,0.6290787101651282,0.29359332740064287
1603473.8758166605,-2163019.413791975,10,2,173.0,503.85447294890844,5399.875043916254,0.0,0.49,0.4665325623160471,0.6205691933323566,0.28951573585974677
1603473.8758166605,-2162019.413791975,10,2,168.0,1487.42069459892,5698.587840426319,0.0,0.49,0.45913665736044024,0.599525330626697,0.2752640563068544
1603473.8758166605,-2161019.413791975,10,2,161.0,1742.194581043181,6147.288529115894,0.0,0.49,0.45722089062523125,0.5700705768606565,0.26064817687146874
1603473.8758166605,-2160019.413791975,10,2,151.0,1061.6900717112294,6715.981621873676,0.0,0.49,0.46233792958213826,0.529343590399657,0.24473561962295284
1603473.8758166605,-2159019.413791975,10,2,139.0,380.6668634953114,7376.968349565431,0.0,0.49,0.4674588688840978,0.4815857607246589,0.22512153497903684
1603473.8758166605,-2158019.413791975,10,2,125.0,57.53222037684789,8107.7071306032785,0.0,0.49,0.46988867285231345,0.4274230562004959,0.2008412526245308
1603473.8758166605,-2157019.413791975,10,2,109.0,164.04107684612214,8891.016128698699,567.2821671561022,0.49,0.4690877818070154,0.3660441161666897,0.17170682249614191
1603473.8758166605,-2156019.413791975,10,2,93.0,381.5665843986028,9714.186568412484,1355.6870517944967,0.49,0.46745210345220223,0.3059768601630064,0.14302952689089768
1603473.8758166605,-2155019.413791975,10,2,77.0,751.4470157875808,10567.90771965154,2144.091936432891,0.49,0.4646707955389409,0.24798709714150005,0.11523236171213345
1603473.8758166605,-2154019.413791975,10,2,62.0,1168.7158437112967,11445.345187289713,2932.496821071286,0.49,0.46153315160167346,0.19531620026222737,0.0901449014658894
1604473.8758166605,-2182019.413791975,11,2,83.0,4211.514571987764,6876.742010861189,2466.9031792755663,0.49,0.4368175245481156,0.28539712227583625,0.12466646446568666
1604473.8758166605,-2181019.413791975,11,2,92.0,3519.183820306344,5876.751581742009,2160.301540078689,0.49,0.44200170839381986,0.32261362732676957,0.14259577442955929
1604473.8758166605,-2180019.413791975,11,2,99.0,3005.4042210901735,4876.765077699686,1853.699900881811,0.49,0.445848898327302,0.35393207591017045,0.15780022612724454
